,Time Length,Window Accuracy,Window Size
247,1000.0,52.10290000000003,247
248,1000.0,51.86999999999997,248
249,1000.0,52.33800000000002,249
250,1000.0,52.145899999999976,250
251,1000.0,51.85520000000002,251
252,1000.0,52.328699999999984,252
253,1000.0,51.906899999999965,253
254,1000.0,52.666199999999996,254
255,1000.0,52.093399999999995,255
256,1000.0,52.06070000000002,256
257,1000.0,52.35630000000006,257
258,1000.0,52.35810000000004,258
259,1000.0,51.94500000000007,259
260,1000.0,52.446000000000076,260
261,1000.0,52.041500000000006,261
262,1000.0,52.65780000000005,262
263,1000.0,52.18100000000002,263
264,1000.0,52.09,264
265,1000.0,51.736200000000046,265
266,1000.0,52.405399999999986,266
267,1000.0,51.94659999999991,267
268,1000.0,52.55290000000003,268
269,1000.0,52.21730000000004,269
270,1000.0,52.44340000000009,270
271,1000.0,51.87249999999992,271
272,1000.0,52.2718,272
273,1000.0,52.68340000000008,273
274,1000.0,52.267300000000006,274
275,1000.0,52.356699999999954,275
276,1000.0,52.39599999999997,276
277,1000.0,52.312499999999936,277
278,1000.0,52.53040000000002,278
279,1000.0,52.38130000000004,279
280,1000.0,52.4435,280
281,1000.0,52.4654,281
282,1000.0,52.823399999999985,282
283,1000.0,51.64320000000001,283
284,1000.0,52.52539999999998,284
285,1000.0,52.80109999999997,285
286,1000.0,52.389299999999906,286
287,1000.0,52.07949999999999,287
288,1000.0,52.79769999999999,288
289,1000.0,52.1258999999999,289
290,1000.0,52.24139999999998,290
291,1000.0,52.28349999999996,291
292,1000.0,52.76570000000006,292
293,1000.0,52.48469999999989,293
294,1000.0,51.91580000000007,294
295,1000.0,52.31759999999994,295
296,1000.0,51.9785,296
297,1000.0,52.45549999999998,297
298,1000.0,52.20009999999994,298
299,1000.0,52.332100000000025,299
300,1000.0,52.694699999999976,300
301,1000.0,51.94450000000009,301
302,1000.0,52.09130000000001,302
303,1000.0,52.16020000000004,303
304,1000.0,52.62249999999997,304
305,1000.0,52.38929999999998,305
306,1000.0,52.32870000000001,306
307,1000.0,52.41339999999999,307
308,1000.0,51.98379999999997,308
309,1000.0,52.51929999999997,309
310,1000.0,52.27820000000006,310
311,1000.0,52.42339999999999,311
312,1000.0,52.136699999999934,312
313,1000.0,52.06949999999999,313
314,1000.0,52.11320000000008,314
315,1000.0,52.055599999999956,315
316,1000.0,52.20270000000004,316
317,1000.0,52.57980000000014,317
318,1000.0,52.25040000000002,318
319,1000.0,51.852600000000024,319
320,1000.0,52.87050000000002,320
321,1000.0,52.47449999999997,321
322,1000.0,52.75249999999997,322
323,1000.0,52.17830000000003,323
324,1000.0,52.273200000000045,324
325,1000.0,52.59960000000004,325
326,1000.0,52.5061,326
327,1000.0,52.567300000000024,327
328,1000.0,52.5243,328
329,1000.0,52.92660000000005,329
330,1000.0,52.70240000000004,330
331,1000.0,52.58870000000002,331
332,1000.0,52.558699999999945,332
333,1000.0,52.51800000000005,333
334,1000.0,52.26350000000001,334
335,1000.0,53.10389999999983,335
336,1000.0,52.085200000000036,336
337,1000.0,52.00330000000002,337
338,1000.0,52.268199999999986,338
339,1000.0,52.63580000000007,339
340,1000.0,52.257699999999936,340
341,1000.0,52.34919999999996,341
342,1000.0,52.190199999999976,342
343,1000.0,52.347,343
344,1000.0,52.47229999999996,344
345,1000.0,52.11799999999999,345
346,1000.0,52.36609999999998,346
347,1000.0,52.46009999999999,347
348,1000.0,52.443600000000025,348
349,1000.0,52.51400000000012,349
350,1000.0,52.58559999999996,350
351,1000.0,52.78159999999996,351
352,1000.0,52.74050000000002,352
353,1000.0,52.50410000000004,353
354,1000.0,52.52910000000003,354
355,1000.0,52.03500000000005,355
356,1000.0,52.4963,356
357,1000.0,52.4114,357
358,1000.0,52.46179999999998,358
359,1000.0,52.0659,359
360,1000.0,52.33020000000001,360
361,1000.0,52.35930000000006,361
362,1000.0,52.449399999999926,362
363,1000.0,52.18589999999991,363
364,1000.0,52.74700000000003,364
365,1000.0,52.70329999999994,365
366,1000.0,52.46250000000002,366
367,1000.0,52.13209999999999,367
368,1000.0,52.474399999999996,368
369,1000.0,52.157499999999985,369
370,1000.0,52.15649999999996,370
371,1000.0,52.58690000000004,371
372,1000.0,52.46109999999997,372
373,1000.0,52.592299999999945,373
374,1000.0,52.378399999999964,374
375,1000.0,52.684899999999935,375
376,1000.0,52.46409999999997,376
377,1000.0,52.260299999999866,377
378,1000.0,52.96910000000002,378
379,1000.0,52.74369999999997,379
380,1000.0,52.29950000000001,380
381,1000.0,52.72359999999998,381
382,1000.0,52.42610000000001,382
383,1000.0,52.50479999999999,383
384,1000.0,52.62269999999998,384
385,1000.0,52.277199999999986,385
